time,total_trades,wins,losses,win_rate,total_pnl
2026-06-21 19:49:32,0,0,0,0,0
2026-06-21 19:50:23,0,0,0,0,0
2026-06-21 19:51:12,0,0,0,0,0
2026-06-21 19:51:15,0,0,0,0,0
2026-06-21 19:51:18,0,0,0,0,0
2026-06-21 19:51:22,0,0,0,0,0
2026-06-21 19:51:25,0,0,0,0,0
2026-06-21 19:51:28,0,0,0,0,0
2026-06-21 19:51:32,0,0,0,0,0
2026-06-21 19:51:35,0,0,0,0,0
2026-06-21 19:51:38,0,0,0,0,0
2026-06-21 19:51:42,0,0,0,0,0
2026-06-21 19:51:45,0,0,0,0,0
2026-06-21 19:51:48,0,0,0,0,0
2026-06-21 19:51:52,0,0,0,0,0
2026-06-21 19:51:55,0,0,0,0,0
2026-06-21 19:51:58,0,0,0,0,0
2026-06-21 19:52:02,0,0,0,0,0
2026-06-21 19:52:05,0,0,0,0,0
2026-06-21 19:52:08,0,0,0,0,0
2026-06-21 19:52:11,0,0,0,0,0
2026-06-21 19:52:15,0,0,0,0,0
2026-06-21 19:52:18,0,0,0,0,0
2026-06-21 19:52:22,0,0,0,0,0
2026-06-21 19:52:25,0,0,0,0,0
2026-06-21 19:52:28,0,0,0,0,0
2026-06-21 19:52:32,0,0,0,0,0
2026-06-21 19:52:35,0,0,0,0,0
2026-06-21 19:52:38,0,0,0,0,0
2026-06-21 19:52:41,0,0,0,0,0
2026-06-21 19:52:45,0,0,0,0,0
2026-06-21 19:52:48,0,0,0,0,0
2026-06-21 19:52:51,0,0,0,0,0
2026-06-21 19:52:55,0,0,0,0,0
2026-06-21 19:52:58,0,0,0,0,0
2026-06-21 19:53:01,0,0,0,0,0
2026-06-21 19:53:05,0,0,0,0,0
2026-06-21 19:53:08,0,0,0,0,0
2026-06-21 19:53:11,0,0,0,0,0
2026-06-21 19:53:15,0,0,0,0,0
2026-06-21 19:53:18,0,0,0,0,0
2026-06-21 19:53:21,0,0,0,0,0
2026-06-21 19:53:25,0,0,0,0,0
2026-06-21 19:53:28,0,0,0,0,0
2026-06-21 19:53:31,0,0,0,0,0
2026-06-21 19:53:35,0,0,0,0,0
2026-06-21 19:53:38,0,0,0,0,0
2026-06-21 19:53:41,0,0,0,0,0
2026-06-21 19:53:45,0,0,0,0,0
2026-06-21 19:53:48,0,0,0,0,0
2026-06-21 19:53:51,0,0,0,0,0
2026-06-21 19:53:55,0,0,0,0,0
2026-06-21 19:53:58,0,0,0,0,0
2026-06-21 19:54:01,0,0,0,0,0
2026-06-21 19:54:05,0,0,0,0,0
2026-06-21 19:54:08,0,0,0,0,0
2026-06-21 19:54:11,0,0,0,0,0
2026-06-21 19:54:15,0,0,0,0,0
2026-06-21 19:54:18,0,0,0,0,0
2026-06-21 19:54:21,0,0,0,0,0
2026-06-21 19:54:25,0,0,0,0,0
2026-06-21 19:54:28,0,0,0,0,0
2026-06-21 19:54:31,0,0,0,0,0
2026-06-21 19:54:35,0,0,0,0,0
2026-06-21 19:54:38,0,0,0,0,0
2026-06-21 19:54:41,0,0,0,0,0
2026-06-21 19:54:45,0,0,0,0,0
2026-06-21 19:54:48,0,0,0,0,0
2026-06-21 19:54:51,0,0,0,0,0
2026-06-21 19:54:55,0,0,0,0,0
2026-06-21 19:54:58,0,0,0,0,0
2026-06-21 19:55:02,0,0,0,0,0
2026-06-21 19:55:05,0,0,0,0,0
2026-06-21 19:55:08,0,0,0,0,0
2026-06-21 19:55:11,0,0,0,0,0
2026-06-21 19:55:15,0,0,0,0,0
2026-06-21 19:55:18,0,0,0,0,0
2026-06-21 19:55:22,0,0,0,0,0
2026-06-21 19:55:25,0,0,0,0,0
2026-06-21 19:55:28,0,0,0,0,0
2026-06-21 19:55:32,0,0,0,0,0
2026-06-21 19:55:35,0,0,0,0,0
2026-06-21 19:55:38,0,0,0,0,0
2026-06-21 19:55:42,0,0,0,0,0
2026-06-21 19:55:45,0,0,0,0,0
2026-06-21 19:55:48,0,0,0,0,0
2026-06-21 19:55:52,0,0,0,0,0
2026-06-21 19:55:55,0,0,0,0,0
2026-06-21 19:55:58,0,0,0,0,0
2026-06-21 19:56:02,0,0,0,0,0
2026-06-21 19:56:05,0,0,0,0,0
2026-06-21 19:56:08,0,0,0,0,0
2026-06-21 19:56:12,0,0,0,0,0
2026-06-21 19:56:15,0,0,0,0,0
2026-06-21 19:56:18,0,0,0,0,0
2026-06-21 19:56:21,0,0,0,0,0
2026-06-21 19:56:25,0,0,0,0,0
2026-06-21 19:56:28,0,0,0,0,0
2026-06-21 19:56:32,0,0,0,0,0
2026-06-21 19:56:35,0,0,0,0,0
2026-06-21 19:56:38,0,0,0,0,0
2026-06-21 19:56:42,0,0,0,0,0
2026-06-21 19:56:45,0,0,0,0,0
2026-06-21 19:56:48,0,0,0,0,0
2026-06-21 19:56:52,0,0,0,0,0
2026-06-21 19:56:55,0,0,0,0,0
2026-06-21 19:56:58,0,0,0,0,0
2026-06-21 19:57:02,0,0,0,0,0
2026-06-21 19:57:05,0,0,0,0,0
2026-06-21 19:57:09,0,0,0,0,0
2026-06-21 19:57:12,0,0,0,0,0
2026-06-21 19:57:15,0,0,0,0,0
2026-06-21 19:57:19,0,0,0,0,0
2026-06-21 19:57:22,0,0,0,0,0
2026-06-21 19:57:25,0,0,0,0,0
2026-06-21 19:57:29,0,0,0,0,0
2026-06-21 19:57:32,0,0,0,0,0
2026-06-21 19:57:35,0,0,0,0,0
2026-06-21 19:57:39,0,0,0,0,0
2026-06-21 19:57:42,0,0,0,0,0
2026-06-21 19:57:45,0,0,0,0,0
2026-06-21 19:57:49,0,0,0,0,0
2026-06-21 19:57:52,0,0,0,0,0
2026-06-21 19:57:55,0,0,0,0,0
2026-06-21 19:57:59,0,0,0,0,0
2026-06-21 19:58:02,0,0,0,0,0
2026-06-21 19:58:05,0,0,0,0,0
2026-06-21 19:58:09,0,0,0,0,0
2026-06-21 19:58:12,0,0,0,0,0
2026-06-21 19:58:15,0,0,0,0,0
2026-06-21 19:58:19,0,0,0,0,0
2026-06-21 19:58:22,0,0,0,0,0
2026-06-21 19:58:25,0,0,0,0,0
2026-06-21 19:58:29,0,0,0,0,0
2026-06-21 19:58:32,0,0,0,0,0
2026-06-21 19:58:35,0,0,0,0,0
2026-06-21 19:58:39,0,0,0,0,0
2026-06-21 19:58:42,0,0,0,0,0
2026-06-21 19:58:45,0,0,0,0,0
2026-06-21 19:58:49,0,0,0,0,0
2026-06-21 19:58:52,0,0,0,0,0
2026-06-21 19:58:55,0,0,0,0,0
2026-06-21 19:58:59,0,0,0,0,0
2026-06-21 19:59:02,0,0,0,0,0
2026-06-21 19:59:05,0,0,0,0,0
2026-06-21 19:59:09,0,0,0,0,0
2026-06-21 19:59:12,0,0,0,0,0
2026-06-21 19:59:15,0,0,0,0,0
2026-06-21 19:59:19,0,0,0,0,0
2026-06-21 19:59:22,0,0,0,0,0
2026-06-21 19:59:26,0,0,0,0,0
2026-06-21 19:59:29,0,0,0,0,0
2026-06-21 19:59:32,0,0,0,0,0
2026-06-21 19:59:36,0,0,0,0,0
2026-06-21 19:59:39,0,0,0,0,0
2026-06-21 19:59:42,0,0,0,0,0
2026-06-21 19:59:46,0,0,0,0,0
2026-06-21 19:59:49,0,0,0,0,0
2026-06-21 19:59:52,0,0,0,0,0
2026-06-21 19:59:56,0,0,0,0,0
2026-06-21 19:59:59,0,0,0,0,0
2026-06-21 20:00:05,0,0,0,0,0
2026-06-21 20:00:07,0,0,0,0,0
2026-06-21 20:00:10,0,0,0,0,0
2026-06-21 20:00:13,0,0,0,0,0
2026-06-21 20:00:17,0,0,0,0,0
2026-06-21 20:00:20,0,0,0,0,0
2026-06-21 20:00:23,0,0,0,0,0
2026-06-21 20:00:27,0,0,0,0,0
2026-06-21 20:00:30,0,0,0,0,0
2026-06-21 20:00:33,0,0,0,0,0
2026-06-21 20:00:37,0,0,0,0,0
2026-06-21 20:00:40,0,0,0,0,0
2026-06-21 20:00:43,0,0,0,0,0
2026-06-21 20:00:47,0,0,0,0,0
2026-06-21 20:00:50,0,0,0,0,0
2026-06-21 20:00:53,0,0,0,0,0
2026-06-21 20:00:57,0,0,0,0,0
2026-06-21 20:01:00,0,0,0,0,0
2026-06-21 20:01:04,0,0,0,0,0
2026-06-21 20:01:07,0,0,0,0,0
2026-06-21 20:01:10,0,0,0,0,0
2026-06-21 20:01:14,0,0,0,0,0
2026-06-21 20:01:17,0,0,0,0,0
2026-06-21 20:01:20,0,0,0,0,0
2026-06-21 20:01:24,0,0,0,0,0
2026-06-21 20:01:27,0,0,0,0,0
2026-06-21 20:01:30,0,0,0,0,0
2026-06-21 20:01:34,0,0,0,0,0
